quarter,trailing_nav_used,n_new_positions,cap_status,outstanding_premium_before,premium_budget,outstanding_premium_after,quarter_realized_pnl
2004Q4,18423945.51875,1421,ok,3394185.0,5527183.655625,5278140.0,2851766.35
2005Q1,21275711.868750002,1521,ok,1873072.5,6382713.560625001,6171687.5,-64070.94999999995
2005Q2,21211640.918750003,1414,ok,4293192.5,6363492.275625001,6172282.5,562602.3
2005Q3,21774243.218750004,1614,ok,1854490.0,6532272.965625001,6275280.0,867968.8
2005Q4,22642212.018750004,1443,ok,4402240.0,6792663.605625001,6508592.5,698306.925
2006Q1,23340518.943750005,1646,ok,2105262.5,7002155.683125001,6616267.5,1034927.35
2006Q2,24375446.293750007,1608,ok,4501395.0,7312633.888125001,6930230.0,-128527.54999999994
2006Q3,24246918.743750006,1512,ok,2421192.5,7274075.623125002,6944647.5,795891.35
2006Q4,25042810.093750007,1654,ok,4516487.5,7512843.028125002,7106942.5,2460131.35
2007Q1,27502941.44375001,1816,ok,2584037.5,8250882.433125002,7944263.5,880169.22
2007Q2,28383110.663750008,1877,ok,5360226.0,8514933.199125001,8167702.0,5066023.22
2007Q3,33449133.883750007,1732,ok,2783338.5,10034740.165125001,9576767.0,846123.145
2007Q4,34295257.02875001,1545,ok,6761731.0,10288577.108625002,9540781.5,327449.485
2008Q1,34622706.51375001,1532,ok,2748500.5,10386811.954125002,9755810.5,-1294591.8
2008Q2,33328114.71375001,1503,ok,6974097.5,9998434.414125003,9247240.5,1717673.71
2008Q3,35045788.423750006,1460,ok,2242530.5,10513736.527125001,9736552.5,-728658.16
2008Q4,34317130.26375001,570,ok,7457129.5,10295139.079125002,9866811.0,-3836369.945
2009Q1,30480760.31875001,907,ok,2380214.0,9144228.095625002,8617412.5,-692387.9550000001
2009Q2,29788372.36375001,1154,ok,6237198.5,8936511.709125003,8198870.0,2138556.855
2009Q3,31926929.21875001,1686,ok,1946604.0,9578078.765625004,8980900.0,1930285.62
2009Q4,33857214.83875001,1574,ok,7002813.5,10157164.451625003,9588826.0,976208.625
2010Q1,34833423.46375001,1898,ok,2568675.0,10450027.039125003,10072619.5,2494871.665
2010Q2,37328295.12875001,1852,ok,7503944.5,11198488.538625004,10681406.0,1368276.655
2010Q3,38696571.78375001,1838,ok,3159751.5,11608971.535125004,11124936.0,943102.965
2010Q4,39639674.748750016,1927,ok,7922969.5,11891902.424625004,11376240.0,3719234.885
2012Q1,43358909.633750014,2003,ok,3425619.0,13007672.890125005,12478981.5,788670.625
2012Q2,44147580.258750014,1965,ok,9036272.5,13244274.077625005,12736117.0,-710319.835
2012Q3,43437260.42375001,1998,ok,3684802.0,13031178.127125004,12504017.0,3334042.55
2012Q4,46771302.97375001,2034,ok,8803537.5,14031390.892125003,13601328.0,-355045.215
2013Q1,46416257.75875001,2153,ok,4794085.5,13924877.327625,13577204.5,7696146.43
2013Q2,54112404.188750006,2195,ok,8783119.0,16233721.256625,15830308.0,10433492.33
2013Q3,64545896.518750004,0,ok,6969374.0,19363768.955625,6969374.0,4278528.0
