cell,day,cumulative_mean,marginal_return
fine:10_4_1,196,0.00788030031843575,0.0010470917487534195
fine:10_4_1,197,0.007397032582571967,-0.000483267735863783
fine:10_4_1,198,0.007260602852791636,-0.0001364297297803312
fine:10_4_1,199,0.0061457485142089605,-0.0011148543385826751
fine:10_4_1,200,0.005342865546092926,-0.0008028829681160348
fine:8_2_3,1,0.004362072829662133,0.004362072829662133
fine:8_2_3,2,0.005530277111029742,0.0011682042813676088
fine:8_2_3,3,0.007234799561517151,0.0017045224504874086
fine:8_2_3,4,0.00843199106257117,0.0011971915010540197
fine:8_2_3,5,0.0077900365819394786,-0.0006419544806316917
fine:8_2_3,6,0.008189746308840106,0.0003997097269006272
fine:8_2_3,7,0.008084627217958225,-0.00010511909088188089
fine:8_2_3,8,0.007916561971108016,-0.0001680652468502089
fine:8_2_3,9,0.007966140944522101,4.957897341408522e-05
fine:8_2_3,10,0.007604528682568394,-0.00036161226195370686
fine:8_2_3,11,0.007961006020961642,0.00035647733839324746
fine:8_2_3,12,0.007751893093036906,-0.0002091129279247362
fine:8_2_3,13,0.007484055604536442,-0.000267837488500464
fine:8_2_3,14,0.005771661263514328,-0.0017123943410221132
fine:8_2_3,15,0.004184453344695199,-0.0015872079188191295
fine:8_2_3,16,0.006646170689654481,0.002461717344959282
fine:8_2_3,17,0.006302639495105692,-0.00034353119454878876
fine:8_2_3,18,0.00522482671161783,-0.0010778127834878623
fine:8_2_3,19,0.004675527871253735,-0.0005492988403640953
fine:8_2_3,20,0.005474558378267396,0.0007990305070136611
fine:8_2_3,21,0.005582490129392933,0.00010793175112553711
fine:8_2_3,22,0.007238460528616898,0.0016559703992239652
fine:8_2_3,23,0.008364345777040049,0.001125885248423151
fine:8_2_3,24,0.010138040498690968,0.0017736947216509188
fine:8_2_3,25,0.008367244061450793,-0.0017707964372401745
fine:8_2_3,26,0.008274582335004967,-9.26617264458262e-05
fine:8_2_3,27,0.00857524575425542,0.0003006634192504534
fine:8_2_3,28,0.009511900574754555,0.0009366548204991342
fine:8_2_3,29,0.0107424860023034,0.0012305854275488446
fine:8_2_3,30,0.010307322707280912,-0.0004351632950224879
fine:8_2_3,31,0.010823641136057112,0.0005163184287762003
fine:8_2_3,32,0.010523882034856115,-0.00029975910120099737
fine:8_2_3,33,0.011708054698735251,0.0011841726638791364
fine:8_2_3,34,0.010041341990575615,-0.0016667127081596358
fine:8_2_3,35,0.010532098335482945,0.0004907563449073303
fine:8_2_3,36,0.012281070873924969,0.0017489725384420233
fine:8_2_3,37,0.01140310662480536,-0.0008779642491196088
fine:8_2_3,38,0.011630115157460959,0.0002270085326555992
fine:8_2_3,39,0.011741034575206425,0.00011091941774546595
fine:8_2_3,40,0.009206145981220378,-0.002534888593986047
fine:8_2_3,41,0.009461285719553188,0.00025513973833280953
fine:8_2_3,42,0.008128233680473988,-0.0013330520390791994
fine:8_2_3,43,0.008233127929560487,0.00010489424908649916
fine:8_2_3,44,0.007252121609413372,-0.0009810063201471158
fine:8_2_3,45,0.008348806218289049,0.001096684608875677
fine:8_2_3,46,0.008859213587793622,0.0005104073695045737
fine:8_2_3,47,0.009856060100509394,0.0009968465127157718
fine:8_2_3,48,0.013500848295926316,0.0036447881954169217
fine:8_2_3,49,0.01369945672646547,0.0001986084305391541
fine:8_2_3,50,0.01084351279799723,-0.0028559439284682395
fine:8_2_3,51,0.009470219372169639,-0.0013732934258275913
fine:8_2_3,52,0.010464753543108666,0.0009945341709390269
fine:8_2_3,53,0.011342359213964407,0.0008776056708557408
fine:8_2_3,54,0.01122559204146345,-0.00011676717250095649
fine:8_2_3,55,0.012412965013053593,0.0011873729715901424
fine:8_2_3,56,0.013177256274161601,0.0007642912611080088
fine:8_2_3,57,0.012862932296064741,-0.0003143239780968605
fine:8_2_3,58,0.013131932564958431,0.00026900026889369044
fine:8_2_3,59,0.013641120217567602,0.000509187652609171
fine:8_2_3,60,0.013208200318788667,-0.0004329198987789353
fine:8_2_3,61,0.011358742885802723,-0.0018494574329859445
fine:8_2_3,62,0.00859232302034575,-0.0027664198654569726
fine:8_2_3,63,0.007801402004446064,-0.0007909210158996861
fine:8_2_3,64,0.007991690770649727,0.00019028876620366328
fine:8_2_3,65,0.006341190513824058,-0.0016505002568256693
fine:8_2_3,66,0.005770541708449086,-0.0005706488053749716
fine:8_2_3,67,0.0057620034519855305,-8.538256463555896e-06
fine:8_2_3,68,0.0072223321168655525,0.001460328664880022
fine:8_2_3,69,0.005668854943479416,-0.0015534771733861363
fine:8_2_3,70,0.00465401772447442,-0.0010148372190049966
fine:8_2_3,71,0.003641335512283355,-0.0010126822121910646
fine:8_2_3,72,0.0037721181230182563,0.00013078261073490131
fine:8_2_3,73,0.0016537540150855883,-0.002118364107932668
fine:8_2_3,74,0.002314825191421699,0.0006610711763361109
fine:8_2_3,75,0.003377958543408766,0.0010631333519870666
fine:8_2_3,76,0.0038431518803559933,0.00046519333694722753
fine:8_2_3,77,0.003243973870167625,-0.0005991780101883685
fine:8_2_3,78,0.0037101174883702698,0.0004661436182026449
fine:8_2_3,79,0.004287671023508831,0.0005775535351385612
fine:8_2_3,80,-0.00047133805367134067,-0.004759009077180172
fine:8_2_3,81,-0.000232721680367425,0.00023861637330391567
fine:8_2_3,82,0.0006897887442361949,0.0009225104246036199
fine:8_2_3,83,0.001195656797289753,0.000505868053053558
fine:8_2_3,84,-0.0002417771777517995,-0.0014374339750415524
fine:8_2_3,85,-0.001989768426298628,-0.0017479912485468287
fine:8_2_3,86,-0.0017333930785546447,0.00025637534774398344
fine:8_2_3,87,9.988234407775724e-05,0.001833275422632402
fine:8_2_3,88,-0.0009120901740790888,-0.001011972518156846
fine:8_2_3,89,-0.0006351054988365134,0.00027698467524257537
fine:8_2_3,90,-5.006646187162104e-05,0.0005850390369648924
fine:8_2_3,91,-0.001905318213175067,-0.001855251751303446
fine:8_2_3,92,-0.0024490264453198404,-0.0005437082321447734
fine:8_2_3,93,-0.0012222612348956373,0.0012267652104242031
fine:8_2_3,94,-0.001101955608774288,0.00012030562612134923
fine:8_2_3,95,-0.0022158771372151353,-0.0011139215284408472
fine:8_2_3,96,-0.00202403316429624,0.00019184397291889532
fine:8_2_3,97,-0.002030589213446474,-6.5560491502342395e-06
fine:8_2_3,98,-0.0021945933417085103,-0.00016400412826203612
fine:8_2_3,99,-0.0017722577213504802,0.00042233562035803016
fine:8_2_3,100,0.0012993087194258744,0.0030715664407763546
fine:8_2_3,101,0.0021869297618874665,0.0008876210424615921
fine:8_2_3,102,0.001985702675717158,-0.00020122708617030874
fine:8_2_3,103,0.003324643852876479,0.0013389411771593212
fine:8_2_3,104,0.00301164422799526,-0.0003129996248812188
fine:8_2_3,105,0.004509088114574485,0.0014974438865792247
fine:8_2_3,106,0.004198173287074012,-0.00031091482750047333
fine:8_2_3,107,0.004597504525859061,0.0003993312387850492
fine:8_2_3,108,0.004738306157586727,0.00014080163172766613
fine:8_2_3,109,0.006138251244085363,0.001399945086498636
fine:8_2_3,110,0.007286170257942222,0.001147919013856859
fine:8_2_3,111,0.007616224410741455,0.0003300541527992331
fine:8_2_3,112,0.008065581217285477,0.0004493568065440214
fine:8_2_3,113,0.00725650903497811,-0.0008090721823073663
fine:8_2_3,114,0.006833553395429271,-0.00042295563954883927
fine:8_2_3,115,0.005165619547279716,-0.0016679338481495548
fine:8_2_3,116,0.005087495176830155,-7.812437044956138e-05
fine:8_2_3,117,0.006190842540048528,0.001103347363218373
fine:8_2_3,118,0.00350421972679049,-0.002686622813258038
fine:8_2_3,119,0.002411485716623309,-0.001092734010167181
fine:8_2_3,120,0.002907782443579399,0.0004962967269560902
fine:8_2_3,121,0.0021593797628270237,-0.0007484026807523755
fine:8_2_3,122,0.0024006286199895546,0.00024124885716253095
fine:8_2_3,123,0.0020476900368557056,-0.00035293858313384906
fine:8_2_3,124,0.003246859036576011,0.0011991689997203053
fine:8_2_3,125,0.001345970470982027,-0.0019008885655939839
fine:8_2_3,126,0.0016832571006546325,0.0003372866296726055
fine:8_2_3,127,0.001926728930125291,0.0002434718294706585
fine:8_2_3,128,0.002366913169082875,0.0004401842389575839
fine:8_2_3,129,0.002012883304110794,-0.000354029864972081
fine:8_2_3,130,0.0030194432995032036,0.0010065599953924097
fine:8_2_3,131,0.005520710339529279,0.002501267040026075
fine:8_2_3,132,0.0013933999840629295,-0.004127310355466349
fine:8_2_3,133,0.0032295828866472347,0.0018361829025843053
fine:8_2_3,134,0.0018751658416084368,-0.001354417045038798
fine:8_2_3,135,0.0029390721156479565,0.0010639062740395197
fine:8_2_3,136,0.004324316447600413,0.0013852443319524567
