decile,horizon,cumulative_mean,marginal_return,marginal_per_day
4,40,0.003395093958337967,0.0017351909052303158,8.675954526151579e-05
4,60,0.0061824196669607746,0.0027873257086228074,0.00013936628543114037
4,80,0.005651804960316593,-0.000530614706644182,-2.65307353322091e-05
4,100,0.009661403028906258,0.004009598068589666,0.00020047990342948328
4,120,0.009031087698727095,-0.0006303153301791629,-3.1515766508958145e-05
4,150,0.014475797755207742,0.005444710056480647,0.00018149033521602155
4,180,0.017182094108103996,0.0027062963528962543,9.020987842987515e-05
5,1,0.0003079914146563872,0.0003079914146563872,0.0003079914146563872
5,5,-0.0005607821304294335,-0.0008687735450858208,-0.0002171933862714552
5,10,0.0001333536649609482,0.0006941357953903817,0.00013882715907807635
5,20,0.003692463291950077,0.0035591096269891286,0.00035591096269891286
5,40,0.006607065375394134,0.002914602083444057,0.00014573010417220285
5,60,0.011521540454406152,0.004914475079012018,0.0002457237539506009
5,80,0.01006762075740335,-0.0014539196970028024,-7.269598485014011e-05
5,100,0.014916954901268122,0.004849334143864773,0.00024246670719323864
5,120,0.016576988950613967,0.0016600340493458446,8.300170246729223e-05
5,150,0.02191602878302768,0.005339039832413715,0.0001779679944137905
5,180,0.02764770004722332,0.005731671264195638,0.00019105570880652127
6,1,0.00017474022393332978,0.00017474022393332978,0.00017474022393332978
6,5,0.00020483555488246073,3.009533094913095e-05,7.523832737282737e-06
6,10,0.0015054955558098184,0.0013006600009273577,0.00026013200018547153
6,20,0.004680157594404976,0.0031746620385951574,0.0003174662038595157
6,40,0.007039449809173824,0.0023592922147688484,0.00011796461073844241
6,60,0.01056272047458496,0.0035232706654111353,0.00017616353327055677
6,80,0.0092355526878262,-0.0013271677867587595,-6.635838933793798e-05
6,100,0.010790796906915418,0.001555244219089218,7.77622109544609e-05
6,120,0.014401891593528246,0.003611094686612828,0.00018055473433064139
6,150,0.02232638783191614,0.007924496238387894,0.0002641498746129298
6,180,0.025488409848078666,0.0031620220161625266,0.00010540073387208422
7,1,0.0012892541584754531,0.0012892541584754531,0.0012892541584754531
7,5,0.00148246260734121,0.0001932084488657569,4.8302112216439225e-05
7,10,0.0031971722941374118,0.0017147096867962017,0.00034294193735924034
7,20,0.005594861537919622,0.00239768924378221,0.00023976892437822098
7,40,0.008101109539722994,0.0025062480018033725,0.00012531240009016863
7,60,0.012911918599016635,0.00481080905929364,0.000240540452964682
7,80,0.014050364868086014,0.0011384462690693792,5.692231345346896e-05
7,100,0.017534128047085186,0.0034837631789991722,0.00017418815894995862
7,120,0.020017738665745907,0.0024836106186607206,0.00012418053093303603
7,150,0.02746348160145135,0.007445742935705442,0.0002481914311901814
7,180,0.03157714421241245,0.004113662610961102,0.00013712208703203673
8,1,0.001380654412336444,0.001380654412336444,0.001380654412336444
8,5,0.002824905877616616,0.001444251465280172,0.000361062866320043
8,10,0.003679753136026795,0.0008548472584101788,0.00017096945168203578
8,20,0.007826798056649282,0.004147044920622487,0.0004147044920622487
8,40,0.012736212125234918,0.004909414068585636,0.0002454707034292818
8,60,0.02053769221762379,0.007801480092388872,0.00039007400461944363
8,80,0.019101723231880398,-0.0014359689857433924,-7.179844928716962e-05
8,100,0.021017295527954883,0.0019155722960744852,9.577861480372426e-05
8,120,0.022832883579542274,0.0018155880515873905,9.077940257936953e-05
8,150,0.031001087550016182,0.008168203970473908,0.00027227346568246363
8,180,0.0358677811736031,0.0048666936235869165,0.00016222312078623054
9,1,0.0026475123621218406,0.0026475123621218406,0.0026475123621218406
9,5,0.004672672484007861,0.00202516012188602,0.000506290030471505
9,10,0.007836106884342709,0.0031634344003348483,0.0006326868800669696
9,20,0.01166766532858497,0.0038315584442422616,0.00038315584442422617
9,40,0.016230442768825057,0.004562777440240086,0.00022813887201200432
9,60,0.024795214054482775,0.008564771285657719,0.00042823856428288594
9,80,0.026098863830769127,0.0013036497762863516,6.518248881431758e-05
9,100,0.029250615735851932,0.003151751905082805,0.00015758759525414024
9,120,0.02937590659679863,0.00012529086094669947,6.2645430473349735e-06
9,150,0.036264198860130936,0.006888292263332305,0.00022960974211107683
9,180,0.03955317222870791,0.003288973368576975,0.0001096324456192325
10,1,0.0036055673651260852,0.0036055673651260852,0.0036055673651260852
10,5,0.007578571338150756,0.0039730039730246705,0.0009932509932561676
10,10,0.010536875997232657,0.002958304659081901,0.0005916609318163803
10,20,0.015744167021594004,0.005207291024361347,0.0005207291024361347
10,40,0.02298818114230759,0.007244014120713585,0.00036220070603567927
10,60,0.0323936182292704,0.009405437086962811,0.00047027185434814054
10,80,0.031216292734066856,-0.0011773254952035447,-5.886627476017724e-05
10,100,0.032402076227359675,0.001185783493292819,5.9289174664640953e-05
10,120,0.0365389057627357,0.004136829535376023,0.00020684147676880115
10,150,0.04684231679192616,0.010303411029190461,0.0003434470343063487
10,180,0.05064547636735787,0.0038031595754317096,0.00012677198584772366
