horizon,decile,mean,se,t_stat,n_events,n_quarters
120,10,0.021541719293604593,0.003742196907617303,5.756436613411783,17055,72
150,1,-0.021111573593941273,0.004610068289372214,-4.579449211763452,16648,72
150,2,-0.016819123992473182,0.0037743850793707434,-4.456122954809165,16821,72
150,3,-0.003934345521791626,0.004537292707665867,-0.867113006649197,15584,72
150,4,-0.009441254199662288,0.0041340243379601295,-2.283792602034106,21054,72
150,5,-0.003503732310993114,0.004214148340950663,-0.8314212095824592,14032,72
150,6,-0.0007525453554160588,0.0029596175909064474,-0.25427114561296255,17878,72
150,7,0.0062933419198441965,0.003973630634434535,1.5837762738457866,17068,72
150,8,0.01047783744168441,0.0035385840645882336,2.961025441373444,16346,72
150,9,0.015911083403510665,0.003456731764647117,4.60292683575781,17400,72
150,10,0.02590576328721145,0.004426046276175738,5.853025854396388,16944,72
180,1,-0.02513191826197826,0.006052511658826345,-4.152312243022039,16275,72
180,2,-0.020706401670632053,0.0042518471073723745,-4.86997795257707,16471,72
180,3,-0.006686327120768696,0.0043654236702181,-1.5316559458785914,15241,72
180,4,-0.009166943172207112,0.004482841872157001,-2.044895500138681,20742,71
180,5,-0.0024810378788196166,0.005236883143252837,-0.47376231452026346,13605,72
180,6,0.0005448731856448831,0.0038333901706668616,0.14213872352839477,17559,71
180,7,0.007410994412633935,0.004289472219981112,1.7277170785982074,16611,72
180,8,0.01501175576775828,0.004712935540026149,3.185224079613656,16037,72
180,9,0.01626658794823291,0.0040201798579084505,4.046233880863183,17100,72
180,10,0.028616626357483316,0.004472532195590042,6.398305278987052,16590,72
