horizon,decile,mean,se,t_stat,n_events,n_quarters
150,1,0.01620923305473225,0.016461556568069104,0.9846719529654752,17324,72
150,2,0.013699329476598125,0.013885284733283989,0.9866077462394331,17476,72
150,3,0.02355331171755958,0.014019297733883749,1.6800635926743126,16352,72
150,4,0.014475797755207742,0.011166277758114677,1.2963852475090003,21799,72
150,5,0.02191602878302768,0.010548758126294395,2.0775932598547904,14799,72
150,6,0.02232638783191614,0.010410980367332694,2.1445038838005406,18621,72
150,7,0.02746348160145135,0.010083337574295172,2.723649922369187,17884,72
150,8,0.031001087550016182,0.008512457113189258,3.6418494845610314,16976,72
150,9,0.036264198860130936,0.008600093172530306,4.216721625291571,18237,72
150,10,0.04684231679192616,0.00930648619787683,5.033297830776637,17686,72
180,1,0.019393121165713394,0.017233922341853582,1.1252877192452047,16940,72
180,2,0.011851424272715396,0.014547914486190255,0.8146476447854758,17112,72
180,3,0.024421037594565584,0.014769351552354667,1.6534942314831795,16001,72
180,4,0.017182094108103996,0.012473579788630151,1.3774789915374352,21478,71
180,5,0.02764770004722332,0.010667084118167698,2.5918704437827578,14361,72
180,6,0.025488409848078666,0.011398456162006215,2.236128251564246,18297,71
180,7,0.03157714421241245,0.010757311726939535,2.935412212080255,17421,72
180,8,0.0358677811736031,0.009552213577042336,3.7549182589266272,16656,72
180,9,0.03955317222870791,0.009726820262412042,4.066403116500024,17930,72
180,10,0.05064547636735787,0.009985917174716103,5.071690009165103,17321,72
