trim,tilt_power,ml_blend_weight,base_unit_fraction,max_gross_leverage,search_ann_ret,search_sharpe,holdout_ann_ret,holdout_sharpe,final_nav,n_positions
0.1,1.0,0.5,0.003,3.0,0.04857735359849524,0.7104688211483436,0.021318572728968643,0.3522879487445045,21673726.398296814,109829
0.1,1.0,0.5,0.0035,1.5,0.03830705540637491,0.6579312488172675,-0.000205294060216632,0.025764138953789772,16748160.284633908,109829
0.1,1.0,0.5,0.0035,2.0,0.049669067659101396,0.726267043183001,0.004912445234060092,0.10395204140205977,20031237.620214723,109829
0.1,1.0,0.5,0.0035,2.5,0.05464083381072404,0.7285625240290781,0.010640538093377616,0.173414694541954,22086104.15826295,109829
0.1,1.0,0.5,0.0035,3.0,0.05366910322329388,0.6955033274252985,0.020324414614796726,0.30267631405884027,23037135.504770733,109829
0.1,1.0,0.5,0.004,1.5,0.03645617072746976,0.6110623526152936,0.0029840076491876033,0.07865373794481272,16644317.595603356,109829
0.1,1.0,0.5,0.004,2.0,0.050363837235909426,0.7017381350677838,-0.003945106746091276,-0.014652723826514266,19211024.987256937,109829
0.1,1.0,0.5,0.004,2.5,0.05505377955682955,0.676103962212411,0.0030398218563918444,0.07818415730456164,21262054.42701146,109829
0.1,1.0,0.5,0.004,3.0,0.05689424980136737,0.6687628993462112,0.015255312212506977,0.21446561719048707,23347555.305839017,109829
0.1,1.0,0.75,0.002,1.5,0.029599985292376285,0.585969401661858,0.008161891259229836,0.16745104956971463,15649171.442723354,113666
0.1,1.0,0.75,0.002,2.0,0.028188432050813228,0.5613445426634037,0.014695455407488067,0.29189832929697157,15937866.03261792,113666
0.1,1.0,0.75,0.002,2.5,0.028188432050813228,0.5613445426634037,0.014695455407488067,0.29189832929697157,15937866.03261792,113666
0.1,1.0,0.75,0.002,3.0,0.028188432050813228,0.5613445426634037,0.014695455407488067,0.29189832929697157,15937866.03261792,113666
0.1,1.0,0.75,0.0025,1.5,0.03242260643954409,0.5928107214829169,0.00302281955736472,0.07857212757614415,15778941.982016103,113666
0.1,1.0,0.75,0.0025,2.0,0.03347340268184662,0.5525976576481586,0.012881428945919149,0.21963239079977415,16926900.098399334,113666
0.1,1.0,0.75,0.0025,2.5,0.03292146460522827,0.544166782071532,0.017542901566542923,0.2974851761709903,17252562.093337737,113666
0.1,1.0,0.75,0.0025,3.0,0.03292146460522827,0.544166782071532,0.017542901566542923,0.2974851761709903,17252562.093337737,113666
0.1,1.0,0.75,0.003,1.5,0.0328695635385583,0.5929046923771335,0.001524163479490026,0.05616085526834709,15737240.487738725,113666
0.1,1.0,0.75,0.003,2.0,0.03941722064803921,0.5739178871742158,0.003335922541206404,0.08169860613225086,17345140.058670614,113666
0.1,1.0,0.75,0.003,2.5,0.03775666457506177,0.537630782147337,0.016465705087818083,0.24985788334477635,18285075.293104947,113666
0.1,1.0,0.75,0.003,3.0,0.037474962984137106,0.5350372771387579,0.01846914383357845,0.2792708109402226,18424369.203754373,113666
0.1,1.0,0.75,0.0035,1.5,0.0326970160889557,0.5693755197189513,0.0013870982515478136,0.05528610152650168,15688778.515457831,113666
0.1,1.0,0.75,0.0035,2.0,0.04045340898436112,0.5641970261814421,-0.0024400292609714214,0.014737510981142425,17010246.015259568,113666
0.1,1.0,0.75,0.0035,2.5,0.04358666776269993,0.5517500333551726,0.0036350748270510547,0.08569374422857459,18358120.0507989,113666
0.1,1.0,0.75,0.0035,3.0,0.04132688061874701,0.5219351583496183,0.017222926704671515,0.24090847691081077,19251525.356058426,113666
0.1,1.0,0.75,0.004,1.5,0.03445086993561075,0.5874042196062658,0.002828263325484137,0.07486133943223376,16192483.098432703,113666
0.1,1.0,0.75,0.004,2.0,0.038841612402324754,0.5458869405683395,-0.007828964651070969,-0.04537355103334289,16140835.93382918,113666
0.1,1.0,0.75,0.004,2.5,0.04692102722714009,0.5559963279136207,-0.003251608076392243,0.014486977279246744,18436705.232006192,113666
0.1,1.0,0.75,0.004,3.0,0.04463037132360692,0.5108623175402033,0.004710933949939822,0.09750606077241707,18727202.335886303,113666
0.1,1.0,1.0,0.002,1.5,0.016076243422385117,0.29492409391343344,0.004622083043202219,0.10457585732012013,12786516.13132618,118828
0.1,1.0,1.0,0.002,2.0,0.014458571716412294,0.2716691806805148,0.013842675792783865,0.2659999776005756,13184164.486337507,118828
0.1,1.0,1.0,0.002,2.5,0.014458571716412294,0.2716691806805148,0.013842675792783865,0.2659999776005756,13184164.486337507,118828
0.1,1.0,1.0,0.002,3.0,0.014458571716412294,0.2716691806805148,0.013842675792783865,0.2659999776005756,13184164.486337507,118828
0.1,1.0,1.0,0.0025,1.5,0.015072356744156412,0.26788501665069,-0.0005130068403533805,0.029949399824569227,12247638.413372332,118828
0.1,1.0,1.0,0.0025,2.0,0.016950327373959073,0.26642925904749565,0.006244003488475203,0.11902595101120494,13059165.830540162,118828
0.1,1.0,1.0,0.0025,2.5,0.015755941278517316,0.2528037857894977,0.01601630564456391,0.25700732589420694,13584158.870690782,118828
0.1,1.0,1.0,0.0025,3.0,0.015755941278517316,0.2528037857894977,0.01601630564456391,0.25700732589420694,13584158.870690782,118828
0.1,1.0,1.0,0.003,1.5,0.01711600477558517,0.29687851783407854,0.004725721159527518,0.09957011258751938,12975301.405535094,118828
0.1,1.0,1.0,0.003,2.0,0.018944460636079796,0.267438291654067,0.0030894525885925006,0.07963527619102272,13175667.192601815,118828
0.1,1.0,1.0,0.003,2.5,0.018642649761849928,0.25834325003123315,0.011212270826605586,0.17221464064333888,13744973.931838125,118828
0.1,1.0,1.0,0.003,3.0,0.017166734877657852,0.24377333270738338,0.018478406645392242,0.26285090212095685,14039933.228610195,118828
0.1,1.0,1.0,0.0035,1.5,0.014904308588307158,0.2544412179532252,0.007896011553112148,0.13422724133495617,12822877.730540996,118828
0.1,1.0,1.0,0.0035,2.0,0.01905031501849397,0.26685480852653193,-0.0011971910000075914,0.0343527043762965,12873554.3488187,118828
0.1,1.0,1.0,0.0035,2.5,0.020758461576924958,0.2589434503317791,0.003089431916706742,0.08186610274379094,13501875.848618576,118828
0.1,1.0,1.0,0.0035,3.0,0.020226388947468754,0.25413161346874125,0.017285094220001573,0.22710624762612022,14533593.724788077,118828
0.1,1.0,1.0,0.004,1.5,0.016427569590696356,0.2729505590467398,0.013992221961060425,0.2064164232165525,13551896.801403899,118828
0.1,1.0,1.0,0.004,2.0,0.01686804685735499,0.23939885796691548,0.0022870562205912215,0.07310189856664272,12752430.332712663,118828
0.1,1.0,1.0,0.004,2.5,0.021173351200462598,0.2532381186388924,-0.0007657436209344004,0.05039520032505897,13280205.913977813,118828
0.1,1.0,1.0,0.004,3.0,0.01990240686431144,0.2345206192278515,0.005754105344427218,0.10910333306618518,13552172.146381985,118828
0.1,1.5,0.0,0.002,1.5,0.0417052544648584,1.1376139308183253,0.01935574259438355,0.4239011197048135,19582356.522697315,120016
0.1,1.5,0.0,0.002,2.0,0.04437484593239338,1.0465034662462365,0.025093980815757977,0.5415992467287405,20949165.283603005,120016
