decile,horizon,cumulative_mean,marginal_return,marginal_per_day
3,60,-0.005272060006383549,-0.0008859097650242816,-4.429548825121408e-05
3,80,-0.001470078813283307,0.0038019811931002427,0.00019009905965501213
3,100,-0.00475756727332975,-0.0032874884600464435,-0.00016437442300232217
3,120,-0.00453115393286289,0.0002264133404668604,1.132066702334302e-05
3,150,-0.003934345521791626,0.0005968084110712637,1.989361370237546e-05
3,180,-0.006686327120768696,-0.00275198159897707,-9.173271996590233e-05
4,1,-0.0008642090068906692,-0.0008642090068906692,-0.0008642090068906692
4,5,-0.0014005076186872233,-0.000536298611796554,-0.0001340746529491385
4,10,-0.002072742535958628,-0.0006722349172714047,-0.00013444698345428094
4,20,-0.0025439430034682278,-0.0004712004675095998,-4.712004675095998e-05
4,40,-0.005237426448054209,-0.0026934834445859813,-0.00013467417222929906
4,60,-0.007347071842581854,-0.002109645394527645,-0.00010548226972638227
4,80,-0.008459941540840026,-0.0011128696982581716,-5.564348491290858e-05
4,100,-0.0072505698507814575,0.0012093716900585683,6.0468584502928416e-05
4,120,-0.008072874750191937,-0.0008223048994104795,-4.111524497052398e-05
4,150,-0.009441254199662288,-0.001368379449470351,-4.561264831567837e-05
4,180,-0.009166943172207112,0.0002743110274551763,9.143700915172543e-06
5,1,0.000626821175624148,0.000626821175624148,0.000626821175624148
5,5,-0.00046228117266729495,-0.001089102348291443,-0.00027227558707286075
5,10,-0.001119981196534563,-0.0006577000238672682,-0.00013154000477345364
5,20,-0.0010075465116485781,0.00011243468488598496,1.1243468488598497e-05
5,40,-0.001738918040371816,-0.0007313715287232379,-3.65685764361619e-05
5,60,-0.0013149612984654777,0.0004239567419063383,2.1197837095316916e-05
5,80,-0.003808710878481455,-0.002493749580015977,-0.00012468747900079886
5,100,-0.0014750878875342732,0.0023336229909471816,0.00011668114954735908
5,120,-0.0014142725756265294,6.081531190774386e-05,3.040765595387193e-06
5,150,-0.003503732310993114,-0.0020894597353665846,-6.964865784555282e-05
5,180,-0.0024810378788196166,0.0010226944321734973,3.408981440578324e-05
6,1,0.0002654730024111645,0.0002654730024111645,0.0002654730024111645
6,5,4.918730252694829e-06,-0.00026055427215846967,-6.513856803961742e-05
6,10,-0.0001325595116434751,-0.0001374782418961699,-2.7495648379233984e-05
6,20,-0.0006751531625334504,-0.0005425936508899753,-5.425936508899754e-05
6,40,-0.0011021323591536261,-0.0004269791966201757,-2.1348959831008788e-05
6,60,-0.0015142917481891821,-0.000412159389035556,-2.06079694517778e-05
6,80,-0.00324499703772029,-0.0017307052895311078,-8.653526447655539e-05
6,100,-0.0046759131705416835,-0.0014309161328213936,-7.154580664106967e-05
6,120,-0.002479963022035021,0.0021959501485066626,0.00010979750742533314
6,150,-0.0007525453554160588,0.001727417666618962,5.7580588887298735e-05
6,180,0.0005448731856448831,0.001297418541060942,4.32472847020314e-05
7,1,0.0013917688215230387,0.0013917688215230387,0.0013917688215230387
7,5,0.001794162019854317,0.0004023931983312783,0.00010059829958281957
7,10,0.0023793381393190528,0.0005851761194647358,0.00011703522389294716
7,20,0.00208566447787953,-0.0002936736614395229,-2.9367366143952287e-05
7,40,0.0022097352760946137,0.00012407079821508387,6.203539910754193e-06
7,60,0.0030412022879451844,0.0008314670118505707,4.1573350592528536e-05
