horizon,trim,tilt_power,n_active,mean_weighted_return,sharpe_proxy
40,0.15,1.0,94916,0.08563435603162119,0.15266111569195753
40,0.2,1.0,94916,0.08563435603162119,0.15266111569195753
40,0.3,1.0,94916,0.08563435603162119,0.15266111569195753
40,0.4,1.0,68022,0.08875277636395057,0.13821161123524495
40,0.0,1.5,117598,0.08784499308775867,0.1903104737687386
40,0.05,1.5,117598,0.08784499308775867,0.1903104737687386
40,0.1,1.5,117598,0.08784499308775867,0.1903104737687386
40,0.15,1.5,94916,0.08791539091482489,0.17130236763729698
40,0.2,1.5,94916,0.08791539091482489,0.17130236763729698
40,0.3,1.5,94916,0.08791539091482489,0.17130236763729698
40,0.4,1.5,68022,0.09016506887352702,0.15066884288922083
40,0.0,2.0,117598,0.08990716733966926,0.20707699865993154
40,0.05,2.0,117598,0.08990716733966926,0.20707699865993154
40,0.1,2.0,117598,0.08990716733966926,0.20707699865993154
40,0.15,2.0,94916,0.08994636999784843,0.18626849898560835
40,0.2,2.0,94916,0.08994636999784843,0.18626849898560835
40,0.3,2.0,94916,0.08994636999784843,0.18626849898560835
40,0.4,2.0,68022,0.09151305870377748,0.16133570375189724
60,0.0,0.5,111155,0.12128514885674481,0.153070141620093
60,0.05,0.5,111155,0.12128514885674481,0.153070141620093
60,0.1,0.5,111155,0.12128514885674481,0.153070141620093
60,0.15,0.5,89835,0.12099069754648516,0.13970994778487195
60,0.2,0.5,89835,0.12099069754648516,0.13970994778487195
60,0.3,0.5,89835,0.12099069754648516,0.13970994778487195
60,0.4,0.5,64340,0.1301688217858148,0.13663892692884058
60,0.0,0.75,111155,0.12316158993610571,0.1688210030438455
60,0.05,0.75,111155,0.12316158993610571,0.1688210030438455
60,0.1,0.75,111155,0.12316158993610571,0.1688210030438455
60,0.15,0.75,89835,0.12309331209268502,0.15279666561252384
60,0.2,0.75,89835,0.12309331209268502,0.15279666561252384
60,0.3,0.75,89835,0.12309331209268502,0.15279666561252384
60,0.4,0.75,64340,0.13095044438982564,0.14418647875294935
60,0.0,1.0,111155,0.12502472179902135,0.18244076186426308
60,0.05,1.0,111155,0.12502472179902135,0.18244076186426308
60,0.1,1.0,111155,0.12502472179902135,0.18244076186426308
60,0.15,1.0,89835,0.12505689321268948,0.16459461945017909
60,0.2,1.0,89835,0.12505689321268948,0.16459461945017909
60,0.3,1.0,89835,0.12505689321268948,0.16459461945017909
60,0.4,1.0,64340,0.13171577126168776,0.15125455520440884
60,0.0,1.5,111155,0.12846541129317893,0.20487477154997208
60,0.05,1.5,111155,0.12846541129317893,0.20487477154997208
60,0.1,1.5,111155,0.12846541129317893,0.20487477154997208
60,0.15,1.5,89835,0.12853242516257044,0.1845018578197331
60,0.2,1.5,89835,0.12853242516257044,0.1845018578197331
60,0.3,1.5,89835,0.12853242516257044,0.1845018578197331
60,0.4,1.5,64340,0.13318564287120024,0.1638689404619404
60,0.0,2.0,111155,0.13136621075662064,0.22243408001977913
60,0.05,2.0,111155,0.13136621075662064,0.22243408001977913
60,0.1,2.0,111155,0.13136621075662064,0.22243408001977913
60,0.15,2.0,89835,0.131409094258381,0.20021531957048247
60,0.2,2.0,89835,0.131409094258381,0.20021531957048247
60,0.3,2.0,89835,0.131409094258381,0.20021531957048247
60,0.4,2.0,64340,0.1345589928365181,0.17448632702931413
