quarter,trailing_nav_used,base_unit,n_new_positions,cap_status,n_dropped_low_conviction,quarter_realized_pnl
2006Q4,12418339.533635292,24836.679067270587,1024,ok,0,46708.78584118206
2007Q1,12465048.319476474,24930.09663895295,1080,ok,0,104956.59681058797
2007Q2,12570004.916287063,25140.009832574127,1145,ok,0,196609.72632309084
2007Q3,12766614.642610153,25533.229285220306,1127,ok,0,127044.55857124065
2007Q4,12893659.201181393,25787.318402362787,1141,ok,0,147919.3126284483
2008Q1,13041578.513809841,26083.157027619684,1109,ok,0,63085.90966567235
2008Q2,13104664.423475513,26209.328846951026,1148,ok,0,237706.33190931962
2008Q3,13342370.755384833,26684.741510769665,1127,ok,0,34745.69117761133
2008Q4,13377116.446562445,26754.23289312489,1123,ok,0,326906.64262235805
2009Q1,13704023.089184802,27408.046178369605,1049,ok,0,186419.07414963393
2009Q2,13890442.163334437,27780.884326668875,1066,ok,0,-11281.988836622157
2009Q3,13879160.174497815,27758.32034899563,1056,ok,0,-24322.71003695741
2009Q4,13854837.464460857,27709.674928921715,1063,ok,0,170997.04124974232
2010Q1,14025834.5057106,28051.6690114212,1032,ok,0,81208.96387625055
2010Q2,14107043.469586851,28214.086939173703,1155,ok,0,139035.06842571183
2010Q3,14246078.538012562,28492.157076025127,1168,ok,0,-14009.68772625703
2010Q4,14232068.850286305,28464.13770057261,1068,ok,0,60959.80336868453
2011Q1,14293028.653654989,28586.057307309977,1056,ok,0,42296.386813420795
2011Q2,14335325.04046841,28670.65008093682,1046,ok,0,110334.88835295381
2011Q3,14445659.928821363,28891.319857642724,1052,ok,0,-68857.12108507895
2011Q4,14376802.807736283,28753.605615472567,1058,ok,0,53939.09221982406
2012Q1,14430741.899956107,28861.483799912214,1078,ok,0,-1808.4682424668354
2012Q2,14428933.43171364,28857.866863427284,1030,ok,0,92285.67296512866
2012Q3,14521219.104678769,29042.438209357537,1094,ok,0,-63606.048944781505
2012Q4,14457613.055733988,28915.226111467975,1068,ok,0,-31028.320032348754
2013Q1,14426584.73570164,28853.16947140328,1070,ok,0,71009.63651272786
2013Q2,14497594.372214368,28995.188744428735,1081,ok,0,124047.20054455125
2013Q3,14621641.572758919,29243.28314551784,1066,ok,0,85133.60938630642
2013Q4,14706775.182145225,29413.55036429045,1076,ok,0,72904.22551915894
2014Q1,14779679.407664385,29559.35881532877,0,ok,0,-7752.7042283243845
2014Q2,14771926.70343606,29543.85340687212,0,ok,0,0.0
