date,daily_pnl,nav,daily_return
2001-05-01,24682.425,10911261.1375,0.0022672343306221238
2001-05-02,-29290.000000000022,10881971.1375,-0.0026843826420151996
2001-05-03,97647.09999999999,10979618.2375,0.008973291581660381
2001-05-04,-97227.50000000006,10882390.7375,-0.008855271458157569
2001-05-07,-28494.999999999996,10853895.7375,-0.002618450365121343
2001-05-08,44716.975,10898612.7125,0.004119900916820466
2001-05-09,-3295.0000000000027,10895317.7125,-0.0003023320570168396
2001-05-10,46055.84999999999,10941373.5625,0.0042271231748626245
2001-05-11,-23389.999999999967,10917983.5625,-0.002137757189843683
2001-05-14,55649.99999999999,10973633.5625,0.0050970950525279285
2001-05-15,-5137.499999999978,10968496.0625,-0.0004681676284103621
2001-05-16,0.0,10968496.0625,0.0
2001-05-17,-179145.0,10789351.0625,-0.016332685810270354
2001-05-18,84345.00000000003,10873696.0625,0.007817430308033415
2001-05-21,-27550.0,10846146.0625,-0.002533637122248744
2001-05-22,-67229.99999999997,10778916.0625,-0.0061985150866116666
2001-05-23,0.0,10778916.0625,0.0
2001-05-24,98179.99999999999,10877096.0625,0.009108522548159512
2001-05-25,-103175.00000000001,10773921.0625,-0.009485528068075753
2001-05-29,0.0,10773921.0625,0.0
2001-05-30,-40862.5,10733058.5625,-0.003792723165777325
2001-05-31,0.0,10733058.5625,0.0
2001-06-01,-23607.50000000002,10709451.0625,-0.002199512828755239
2001-06-04,0.0,10709451.0625,0.0
2001-06-05,0.0,10709451.0625,0.0
2001-06-06,-19770.000000000004,10689681.0625,-0.0018460329931593077
2001-06-07,0.0,10689681.0625,0.0
2001-06-08,-77460.0,10612221.0625,-0.007246240514296916
2001-06-11,0.0,10612221.0625,0.0
2001-06-12,0.0,10612221.0625,0.0
2001-06-13,0.0,10612221.0625,0.0
2001-06-14,-8490.000000000002,10603731.0625,-0.0008000210276433829
2001-06-15,-51919.99999999999,10551811.0625,-0.004896389741872519
2001-06-18,-224085.0,10327726.0625,-0.021236638779135647
2001-06-19,0.0,10327726.0625,0.0
2001-06-20,-25655.00000000004,10302071.0625,-0.002484089899823487
2001-06-21,0.0,10302071.0625,0.0
2001-06-22,122517.49999999997,10424588.5625,0.011892511637389996
2001-06-25,-36627.499999999985,10387961.0625,-0.00351356792456623
2001-06-26,0.0,10387961.0625,0.0
2001-06-27,-28020.000000000004,10359941.0625,-0.0026973531987091047
2001-06-28,0.0,10359941.0625,0.0
2001-06-29,54715.0,10414656.0625,0.005281400701983964
2001-07-02,0.0,10414656.0625,0.0
2001-07-03,0.0,10414656.0625,0.0
2001-07-05,34597.50000000001,10449253.5625,0.003322001206028786
2001-07-06,0.0,10449253.5625,0.0
2001-07-09,-40879.999999999985,10408373.5625,-0.003912241171628664
2001-07-10,0.0,10408373.5625,0.0
2001-07-11,0.0,10408373.5625,0.0
2001-07-12,-3623.55,10404750.0125,-0.00034813796586386696
2001-07-13,-12325.0,10392425.0125,-0.00118455512964685
2001-07-16,0.0,10392425.0125,0.0
2001-07-17,0.0,10392425.0125,0.0
2001-07-18,0.0,10392425.0125,0.0
2001-07-19,22185.000000000007,10414610.0125,0.002134727936291665
2001-07-20,-6822.9,10407787.1125,-0.00065512774763634
2001-07-23,11735.000000000002,10419522.1125,0.0011275211409643446
2001-07-24,-1814.4,10417707.7125,-0.00017413466571785635
2001-07-25,-6719.999999999996,10410987.7125,-0.0006450555328920202
2001-07-26,3111.8999999999733,10414099.6125,0.0002989053571030207
2001-07-27,38034.17500000001,10452133.7875,0.0036521808332184327
2001-07-30,19050.00000000001,10471183.7875,0.0018225943512876232
2001-07-31,-3425.0000000000073,10467758.7875,-0.00032708813726377425
2001-08-01,0.0,10467758.7875,0.0
2001-08-02,-2684.625,10465074.1625,-0.00025646607401823453
2001-08-03,86310.0,10551384.1625,0.008247433191565784
2001-08-06,-4890.000000000015,10546494.1625,-0.00046344630473973747
2001-08-07,-8959.999999999993,10537534.1625,-0.0008495714179465363
2001-08-08,-12590.775,10524943.3875,-0.0011948502188307852
2001-08-09,-22034.999999999996,10502908.3875,-0.002093597959507314
2001-08-10,-4420.000000000007,10498488.3875,-0.0004208358139408752
2001-08-13,704.4000000000046,10499192.7875,6.70953735433662e-05
2001-08-14,15619.999999999993,10514812.7875,0.0014877334206679833
2001-08-15,76145.00000000004,10590957.7875,0.007241688610045549
2001-08-16,-14719.999999999996,10576237.7875,-0.0013898648540902794
2001-08-17,16889.999999999993,10593127.7875,0.0015969761969575036
2001-08-20,9920.000000000002,10603047.7875,0.0009364561816865558
2001-08-21,-22400.000000000004,10580647.7875,-0.002112600117336782
2001-08-22,29719.999999999996,10610367.7875,0.002808901741830143
2001-08-23,-11869.999999999996,10598497.7875,-0.001118717111199855
2001-08-24,-7079.9999999999945,10591417.7875,-0.0006680191987538304
2001-08-27,22230.000000000007,10613647.7875,0.002098869145378806
2001-08-28,0.0,10613647.7875,0.0
2001-08-29,-2041.425,10611606.3625,-0.000192339621671283
2001-08-30,-25760.0,10585846.3625,-0.0024275306791469763
2001-08-31,-14519.999999999996,10571326.3625,-0.001371642805192847
2001-09-04,0.0,10571326.3625,0.0
2001-09-05,0.0,10571326.3625,0.0
2001-09-06,-13993.500000000038,10557332.8625,-0.0013237222577518392
2001-09-07,-66027.50000000003,10491305.3625,-0.006254183784858382
2001-09-10,0.0,10491305.3625,0.0
2001-09-17,-42350.00000000001,10448955.3625,-0.0040366759461006015
2001-09-18,-29040.000000000004,10419915.3625,-0.0027792251945319766
2001-09-19,131000.0,10550915.3625,0.012572079085349672
2001-09-20,-1919.925,10548995.4375,-0.00018196762404367166
2001-09-21,-15282.499999999985,10533712.9375,-0.0014487161446362115
2001-09-24,19359.999999999996,10553072.9375,0.0018379084483191514
2001-09-25,71680.0,10624752.9375,0.0067923343678680985
2001-09-26,-7252.499999999995,10617500.4375,-0.0006826041078472838
2001-09-27,84512.50000000001,10702012.9375,0.007959735956450721
2001-09-28,92625.0,10794637.9375,0.008654913850406658
2001-10-01,46215.00000000001,10840852.9375,0.004281292273773402
2001-10-02,0.0,10840852.9375,0.0
2001-10-03,-20893.999999999993,10819958.9375,-0.001927339123633416
2001-10-04,28404.999999999993,10848363.9375,0.0026252410165396706
2001-10-05,-68817.0,10779546.9375,-0.006343537181871024
2001-10-08,9149.999999999995,10788696.9375,0.0008488297377479641
2001-10-09,0.0,10788696.9375,0.0
2001-10-10,41715.00000000006,10830411.9375,0.003866546649855791
2001-10-11,0.0,10830411.9375,0.0
2001-10-12,79300.00000000001,10909711.9375,0.007321974497149639
2001-10-15,100129.99999999999,11009841.9375,0.009178060848318341
2001-10-16,0.0,11009841.9375,0.0
2001-10-17,-27020.000000000007,10982821.9375,-0.002454167839410002
2001-10-18,-5332.374999999994,10977489.5625,-0.0004855195714129726
2001-10-19,121725.00000000001,11099214.5625,0.011088600841473131
2001-10-22,0.0,11099214.5625,0.0
2001-10-23,-3478.125,11095736.4375,-0.00031336676846947835
2001-10-24,3632.1750000000025,11099368.6125,0.0003273487091604326
2001-10-25,76975.44999999998,11176344.0625,0.006935119707017477
2001-10-26,25154.999999999993,11201499.0625,0.002250736006276202
2001-10-29,0.0,11201499.0625,0.0
2001-10-30,-265.69999999999527,11201233.3625,-2.3720039480206427e-05
2001-10-31,103939.9,11305173.2625,0.009279326359539541
2001-11-01,-87686.09999999998,11217487.1625,-0.0077562809489050925
2001-11-02,45810.00000000005,11263297.1625,0.004083802311193423
2001-11-05,0.0,11263297.1625,0.0
2001-11-06,38801.74999999995,11302098.9125,0.003444972590192011
2001-11-07,-171645.0,11130453.9125,-0.01518700210720705
2001-11-08,-10517.499999999978,11119936.4125,-0.0009449300165726713
2001-11-09,-3477.8249999999994,11116458.5875,-0.0003127558351943948
2001-11-12,2241.750000000005,11118700.3375,0.0002016604462972372
2001-11-13,73290.0,11191990.3375,0.006591597738524806
2001-11-14,31749.974999999988,11223740.3125,0.0028368479638173193
2001-11-15,106600.00000000001,11330340.3125,0.009497725092701801
2001-11-16,-73514.99999999999,11256825.3125,-0.006488331150909549
2001-11-19,-24599.999999999985,11232225.3125,-0.002185340832524355
2001-11-20,28472.499999999993,11260697.8125,0.002534893950917617
2001-11-21,-64090.00000000003,11196607.8125,-0.00569147676877152
2001-11-23,-9929.999999999985,11186677.8125,-0.0008868757543614271
2001-11-26,-5655.0000000000055,11181022.8125,-0.0005055120112318874
2001-11-27,-8200.000000000007,11172822.8125,-0.0007333854994761918
2001-11-28,-42880.000000000015,11129942.8125,-0.00383788418733594
2001-11-29,209142.49999999994,11339085.3125,0.018790977053818526
2001-11-30,-7475.0,11331610.3125,-0.0006592242490458817
2001-12-03,85399.99999999991,11417010.3125,0.007536439892024386
2001-12-04,0.0,11417010.3125,0.0
2001-12-05,32880.00000000006,11449890.3125,0.0028799133135582037
2001-12-06,0.0,11449890.3125,0.0
2001-12-07,0.0,11449890.3125,0.0
2001-12-10,-5654.999999999999,11444235.3125,-0.0004938911942087654
2001-12-11,28700.000000000007,11472935.3125,0.002507812817222689
2001-12-12,0.0,11472935.3125,0.0
2001-12-13,-59784.99999999994,11413150.3125,-0.005210959390214895
2001-12-14,-196700.0,11216450.3125,-0.01723450533938633
2001-12-17,0.0,11216450.3125,0.0
2001-12-18,0.0,11216450.3125,0.0
2001-12-19,76187.50000000001,11292637.8125,0.006792478714508638
2001-12-20,-2972.4999999999895,11289665.3125,-0.0002632245937003029
2001-12-21,-107810.00000000001,11181855.3125,-0.009549441636735856
2001-12-24,0.0,11181855.3125,0.0
2001-12-26,0.0,11181855.3125,0.0
2001-12-27,-73780.00000000001,11108075.3125,-0.00659818947196738
2001-12-28,104880.0,11212955.3125,0.009441779700753177
2001-12-31,-23172.49999999999,11189782.8125,-0.0020665827477407053
2002-01-02,0.0,11189782.8125,0.0
2002-01-03,0.0,11189782.8125,0.0
2002-01-04,-108180.00000000004,11081602.8125,-0.00966774796371858
2002-01-07,0.0,11081602.8125,0.0
2002-01-08,0.0,11081602.8125,0.0
2002-01-09,127633.20000000001,11209236.0125,0.011517575765847728
2002-01-10,-53120.000000000015,11156116.0125,-0.0047389491969625
2002-01-11,0.0,11156116.0125,0.0
2002-01-14,98147.5,11254263.5125,0.0087976406744094
2002-01-15,0.0,11254263.5125,0.0
2002-01-16,26055.00000000001,11280318.5125,0.002315122617402816
2002-01-17,0.0,11280318.5125,0.0
2002-01-18,0.0,11280318.5125,0.0
2002-01-22,0.0,11280318.5125,0.0
2002-01-23,0.0,11280318.5125,0.0
2002-01-24,-4572.725000000006,11275745.7875,-0.0004053719755282492
2002-01-25,52464.99999999997,11328210.7875,0.00465290730996803
2002-01-28,0.0,11328210.7875,0.0
2002-01-29,-2438.1749999999997,11325772.612499999,-0.0002152303700678292
2002-01-30,-49567.875,11276204.737499999,-0.0043765557278885375
2002-01-31,233614.99999999994,11509819.737499999,0.02071752025068266
2002-02-01,-6677.25,11503142.487499999,-0.0005801350631274386
2002-02-04,-62014.999999999985,11441127.487499999,-0.005391135515133294
2002-02-05,-11018.099999999995,11430109.3875,-0.0009630257168306023
2002-02-06,-109294.15,11320815.237499999,-0.009561951359759024
2002-02-07,124504.15000000002,11445319.3875,0.010997807789282017
2002-02-08,16015.000000000004,11461334.3875,0.001399261956594307
2002-02-11,0.0,11461334.3875,0.0
2002-02-12,-26215.0,11435119.3875,-0.0022872554899533073
