w_equity,w_options,w_beta,sharpe,annualized_return,annualized_vol,max_drawdown
0.5,4.0,0.75,1.1414921601297172,0.1897837723250182,0.163922337082929,-0.4419527185888521
0.5,4.0,1.0,1.154211699297432,0.19203475465418185,0.1637526460159871,-0.45306697402790985
1.0,0.0,0.0,1.3852837637705986,0.07318362229478703,0.05196794946025795,-0.1662582804626446
1.0,0.0,0.25,1.4170645954358025,0.08379909992389578,0.05798324090860062,-0.12932507977340618
1.0,0.0,0.5,1.2244458300803425,0.09300108485658987,0.07493091890342327,-0.16318358130832786
1.0,0.0,0.75,1.0662929561419745,0.10113028775403832,0.09455509301688078,-0.19824685528716937
1.0,0.0,1.0,0.9596453932368183,0.10841659668531833,0.11405645485370562,-0.24070666021736284
1.0,0.5,0.0,1.7573551495607422,0.10170638073094396,0.05601910608254415,-0.11760780039202232
1.0,0.5,0.25,1.763403715160462,0.10893641102424079,0.05965729941056358,-0.14052066192122328
1.0,0.5,0.5,1.5627086938054777,0.11549642564167506,0.07159637302273898,-0.16897973291596305
1.0,0.5,0.75,1.3659019777117003,0.12150315635550069,0.08672251846795641,-0.21179691195276973
1.0,0.5,1.0,1.2174215551864205,0.12704503715183346,0.102583306751092,-0.24860980504130323
1.0,1.0,0.0,1.6186614960848664,0.12193601985482694,0.07272291907859234,-0.1508254669821127
1.0,1.0,0.25,1.6696343981277606,0.12744585712408685,0.07347276180546149,-0.18341036459434618
1.0,1.0,0.5,1.5919956082186542,0.1325640163420998,0.0802299474970642,-0.2215127091235238
1.0,1.0,0.75,1.46913182928007,0.137343945832475,0.09039956138873434,-0.25508657159903314
1.0,1.0,1.0,1.3496173342262572,0.14182876317742532,0.10216261402862764,-0.28443963283900525
1.0,2.0,0.0,1.3643788305242555,0.15063184759769088,0.10702628556911462,-0.2545580146724798
1.0,2.0,0.25,1.4220751123401438,0.15439114668541865,0.10482239396421451,-0.2760009345789738
1.0,2.0,0.5,1.4364788368812504,0.15796809394229694,0.10602023197498499,-0.2972079383932851
1.0,2.0,0.75,1.417606497137094,0.16138005298071234,0.10980124133010259,-0.3203804909674152
1.0,2.0,1.0,1.3785767919087897,0.1646419985373493,0.11540803982571388,-0.3409427702934122
1.0,3.0,0.0,1.2270696590180143,0.1712080286929054,0.136311172265211,-0.3237541687684026
1.0,3.0,0.25,1.2745832897991827,0.17407505782638233,0.13279386133269286,-0.33785741200799074
1.0,3.0,0.5,1.303367218335475,0.17683653292602775,0.13155164826158577,-0.3512645714595376
1.0,3.0,0.75,1.3149121230932084,0.1795001732117525,0.13219195913388587,-0.3662023883905182
1.0,3.0,1.0,1.3123138042066924,0.18207287338217482,0.13434252300884694,-0.38163221971099376
1.0,4.0,0.0,1.1442068355397264,0.1873260668319554,0.16132826972160927,-0.37227716713665965
1.0,4.0,0.25,1.1832407726555678,0.18964989735917248,0.15711880417020924,-0.38210417584490675
1.0,4.0,0.5,1.212371702429907,0.19190478554323098,0.15460385513525438,-0.3916452691065587
1.0,4.0,0.75,1.2317988698590148,0.19409482394569832,0.15354111267119808,-0.40034303151041795
1.0,4.0,1.0,1.242359430287579,0.1962237478568991,0.1537057180392559,-0.4122087426466119
1.5,0.0,0.0,1.4412866341806805,0.09249458070318473,0.06275551986930372,-0.18413117425208136
1.5,0.0,0.25,1.5064788181785898,0.10067943605357121,0.06509489244765777,-0.14790056044115643
1.5,0.0,0.5,1.4058670683651828,0.10801009725838773,0.07496831058482498,-0.1651715948620345
1.5,0.0,0.75,1.2739390996651587,0.11465231130564435,0.08827778766860292,-0.19009137723944242
1.5,0.0,1.0,1.161184218394253,0.12072748492826069,0.10272004567784043,-0.21252872788967755
1.5,0.5,0.0,1.770499166543402,0.11512858701681306,0.06266904831075197,-0.13452986933000383
1.5,0.5,0.25,1.8059418944417462,0.12116504583357757,0.06449406862098825,-0.15232544106015128
1.5,0.5,0.5,1.687305270759022,0.12673208851939277,0.07228126252602152,-0.16905703426879856
1.5,0.5,0.75,1.5310490818212508,0.1318993334551959,0.08320274069601379,-0.18756241536726934
1.5,0.5,1.0,1.3908074802371804,0.13672185653015112,0.09543658105035682,-0.22003307853875084
1.5,1.0,0.0,1.7287155633588893,0.1322741510233778,0.07343462495372638,-0.14324578731520238
1.5,1.0,0.25,1.7761223409216815,0.13707260758729034,0.07387589811517346,-0.15998466641602033
1.5,1.0,0.5,1.7187862739176847,0.14157366354793233,0.07886232181869894,-0.18270236768600187
1.5,1.0,0.75,1.6129414871246934,0.14581302021618958,0.0867420687324497,-0.2148378944622666
1.5,1.0,1.0,1.4994378014534626,0.14982026060215836,0.09621662326629528,-0.24329787116714768
1.5,2.0,0.0,1.4945067718700207,0.15776337867571777,0.10146929126940818,-0.21648627402362108
