kind,horizon,decile,mean,se,t_stat,n_events,n_quarters
rr_ret_net_fwd,10,10,-0.02263190524059664,0.004006275261579503,-5.649113893305936,11968,67
rr_ret_net_fwd,20,1,-0.037604667643824405,0.0065432517421857616,-5.747091679413611,10881,67
rr_ret_net_fwd,20,2,-0.03326704024389944,0.0061418353362986886,-5.416465669030369,11588,67
rr_ret_net_fwd,20,3,-0.02860546226303873,0.005812325329767638,-4.921517747215004,10880,67
rr_ret_net_fwd,20,4,-0.028723605179711946,0.0057283932077428395,-5.014251665002221,15068,67
rr_ret_net_fwd,20,5,-0.024351761890051782,0.005783102486308385,-4.210847369159562,10408,67
rr_ret_net_fwd,20,6,-0.02441758705701813,0.006187310655623947,-3.946397460231579,13010,67
rr_ret_net_fwd,20,7,-0.023931079154807224,0.0058211958778986005,-4.111024548352104,12524,67
rr_ret_net_fwd,20,8,-0.022437409453385994,0.0062279948031266266,-3.6026699062307808,11928,67
rr_ret_net_fwd,20,9,-0.0188883625738446,0.0058958274406674714,-3.2036830731440524,12819,67
rr_ret_net_fwd,20,10,-0.014602889475068423,0.006444435359841065,-2.2659688024907996,11755,67
rr_ret_net_fwd,40,1,-0.021727823551847898,0.009513777861634126,-2.283827084030301,10091,67
rr_ret_net_fwd,40,2,-0.019039040773609097,0.009160213785503735,-2.078449392058824,10853,67
rr_ret_net_fwd,40,3,-0.01673413740223955,0.009089855977536249,-1.8409683765721487,10127,67
rr_ret_net_fwd,40,4,-0.0082349432732627,0.01271073033353087,-0.6478733367144879,14234,66
rr_ret_net_fwd,40,5,-0.01602025396619002,0.008723517702294485,-1.836444254818939,9870,67
rr_ret_net_fwd,40,6,-0.013141228768769189,0.00852870524325173,-1.5408234185566538,12242,66
rr_ret_net_fwd,40,7,-0.013523725299548735,0.00847823096420796,-1.5951116874075544,11877,67
rr_ret_net_fwd,40,8,-0.012162264786273875,0.008931673989059353,-1.361700483153747,11332,66
rr_ret_net_fwd,40,9,-0.007473496724121351,0.008671063471947604,-0.8618892882400654,12177,66
rr_ret_net_fwd,40,10,-0.0009544712574314114,0.009112117386238166,-0.10474747163298496,11135,67
