cp_type,horizon,decile,mean,se,t_stat,n_events,n_quarters
put,20,3,-0.030974700193793742,0.020692436832289787,-1.4969092545668117,11049,67
put,20,4,-0.02772050828956767,0.02033980233478138,-1.362870092506512,15310,67
put,20,5,-0.039128570031648595,0.021239644258276166,-1.8422422501922033,10600,67
put,20,6,-0.04167919489922061,0.02164564648438264,-1.9255232191513523,13154,67
put,20,7,-0.04121549611474119,0.021199466158419947,-1.9441761319244981,12688,67
put,20,8,-0.056723128096884665,0.02099373639690245,-2.7019072272077285,12072,67
put,20,9,-0.06419726511264794,0.019581747490714087,-3.2784237026389547,12962,67
put,20,10,-0.07624271037885404,0.020078067995179177,-3.7973130879505046,11884,67
put,40,1,-0.03194643975187837,0.03495184603783185,-0.9140129456195124,10748,67
put,40,2,-0.04040112521795891,0.034001183015510264,-1.1882270449098549,11407,67
put,40,3,-0.04648248442212991,0.0352018088163485,-1.3204572715178893,10597,67
put,40,4,-0.04649691832057526,0.033931081732170326,-1.370334099207075,14813,66
put,40,5,-0.05134369133399225,0.036316030039675776,-1.41380242493187,10232,67
put,40,6,-0.06499539240288955,0.03481001982593197,-1.8671460897724272,12673,66
put,40,7,-0.06792894429168057,0.03378804856351989,-2.0104429577806915,12305,67
put,40,8,-0.08462821602330457,0.033185189903941384,-2.550180254151667,11667,66
put,40,9,-0.09447203656439447,0.031868212869873666,-2.964459819260928,12551,66
put,40,10,-0.11460065255221664,0.03187430646313494,-3.595392818499785,11457,67
put,60,1,0.007887595060713725,0.049515861464980625,0.15929431150646772,10233,65
put,60,2,-0.0234511260014947,0.04891484240741275,-0.4794276102572258,10900,66
put,60,3,-0.024512959059248784,0.04932593950092921,-0.4969587869438758,10119,65
put,60,4,-0.01767870884933769,0.04880821121566929,-0.36220767795034764,14200,65
put,60,5,-0.0396910787218129,0.049511824700807235,-0.8016484741101813,9740,65
put,60,6,-0.05273336997643737,0.048901881205008976,-1.0783505394274266,12137,66
put,60,7,-0.06395239842149233,0.049894998200946304,-1.281739667850703,11733,66
put,60,8,-0.08769229579985535,0.04652483637106642,-1.8848490965223637,11175,66
put,60,9,-0.08568011639354096,0.04769625834721193,-1.7963697648947627,12006,65
put,60,10,-0.11055811019834616,0.049378768068482834,-2.238980730442979,10937,66
straddle,1,1,0.0008605710082833889,0.0007993406601046555,1.0766010678985312,11301,67
straddle,1,2,0.001237098809413982,0.0006790595738881446,1.8217824429315217,11977,67
straddle,1,3,0.001041306528716711,0.0006656898245886595,1.564251833592546,11167,67
straddle,1,4,0.000709271993866927,0.0005134591237471622,1.38136019220137,15478,67
straddle,1,5,0.0011982464387020992,0.0005288548107566835,2.2657379952498733,10663,67
straddle,1,6,0.000980779834991121,0.0005113236572679173,1.9181194162452442,13286,67
straddle,1,7,0.0010612797429448552,0.0005059563726879182,2.0975716489284526,12801,67
straddle,1,8,0.0015470894129754303,0.0004983431466696267,3.1044661159975036,12191,67
straddle,1,9,0.0015734665698878643,0.0005860881802317662,2.684692547912574,13096,67
straddle,1,10,0.0035151607916921058,0.0007262848246898288,4.839920472238023,12028,67
straddle,5,1,-0.00022910470338708886,0.0018965326515255757,-0.12080187662616641,11239,67
straddle,5,2,0.0019473798615494734,0.001850562702524308,1.0523176863410786,11892,67
straddle,5,3,0.0012328120866494769,0.0017849414843664696,0.6906736705080501,11117,67
straddle,5,4,0.0013634085409736903,0.0020382430379699097,0.6689136258900927,15442,67
straddle,5,5,0.0013323476838840629,0.001780649767206355,0.7482368000835846,10626,67
straddle,5,6,0.0014314999823781325,0.0015592972976477967,0.9180417259348511,13238,67
straddle,5,7,0.0017248377204159733,0.001617395904826799,1.0664288905817898,12767,67
straddle,5,8,0.0018549299240031886,0.001587555343181383,1.1684190614016643,12134,67
straddle,5,9,0.0025481238858031203,0.0016761479615971138,1.5202261042486644,13071,67
straddle,5,10,0.007443307484486673,0.0019085022783368146,3.900077861564423,12007,67
