base_unit_fraction,liquidity_cap_frac,annualized_return,annualized_vol,sharpe,max_drawdown,avg_leverage,pct_leverage_capped_quarters,pct_liquidity_capped,total_transaction_costs,cost_pct_of_gross_pnl,final_nav,strategy
0.002,0.05,0.0388213761505698,0.06452376845497551,0.8750702486702858,-0.13962889570946585,2.0066061951997773,0.8974358974358975,0.9932012801660756,3577067.750407052,0.24544381523782785,20996808.33989481,rankweighted
0.003,0.05,0.037841149538518914,0.06426059534276365,0.8480898377141172,-0.14097397682235036,1.9905661642158847,0.8974358974358975,0.9933915751232593,3485587.085787894,0.24720705501029358,20614281.891020812,rankweighted
0.004,0.05,0.03724713011559211,0.0641061895447411,0.8318244430267097,-0.14264039320460728,1.9790552330268971,0.8974358974358975,0.9935415044834646,3409318.7488665907,0.24714134241161953,20385697.154171973,rankweighted
0.005,0.05,0.03674221201748873,0.06378984032366945,0.8204628901009474,-0.14312441080312763,1.964022271000608,0.9102564102564102,0.9975030995011965,3335555.5206754906,0.2465513402927092,20193292.129130304,rankweighted
0.0075,0.05,0.0354366343771757,0.06315950102087176,0.7888537212564328,-0.145866550245419,1.9271479305232913,0.9230769230769231,0.9999481013753135,3178742.055274884,0.24674918027329554,19703740.681867994,rankweighted
0.01,0.05,0.034373382875679814,0.0628075608541053,0.7613634714988132,-0.1485896000370522,1.8956953039300148,0.9230769230769231,0.9999481013753135,3054421.2679740107,0.24696530417964802,19313394.033531487,rankweighted
0.015,0.05,0.032557956659024834,0.06242004356378468,0.7126572275536728,-0.15357981445817373,1.8460060070513435,0.9230769230769231,0.9999481013753135,2867472.9101488884,0.24866909006967153,18663807.11080382,rankweighted
0.02,0.05,0.031061759047852355,0.06208529914481137,0.6735180482136416,-0.1594131874796047,1.800501101798668,0.9230769230769231,0.9999481013753135,2721118.2535074437,0.2504434984772161,18144079.965063967,rankweighted
0.03,0.05,0.0283980850976,0.061247076343356445,0.6080025753709101,-0.17046170504825167,1.723560390355582,0.9230769230769231,0.9999481013753135,2504228.6925697243,0.25666373679802784,17252617.848398134,rankweighted
0.05,0.05,0.024540933366495432,0.06002536605993589,0.5162305171896826,-0.18409069754975974,1.6134575354593275,0.9230769230769231,0.9999481013753135,2231500.902591408,0.26994266475622214,16035072.684828036,rankweighted
0.001,0.1,0.03376552535204347,0.048790546558660004,0.9569590796112915,-0.1309547213346135,1.5294122117514086,0.0,0.008753568030447193,2807917.0879159872,0.2359304966153951,19093541.72388544,rankweighted
0.0015,0.1,0.04120461996545455,0.06606504813626013,0.9291349664041476,-0.1467174528117836,2.062967999178981,0.8846153846153846,0.9819450451229709,3761839.1761255735,0.23934877982347325,21955137.44226387,rankweighted
0.002,0.1,0.04060988632600604,0.06594539628473474,0.911903982018628,-0.14499067452064174,2.053549676295672,0.8974358974358975,0.9930398177781622,3728371.3417200767,0.24146626041178026,21712176.482070968,rankweighted
0.003,0.1,0.03992277272946576,0.06554902227894373,0.8956796963544829,-0.14218434506264807,2.04441435915446,0.8974358974358975,0.9931436150275351,3677738.7685452267,0.24335915914889963,21434652.239902504,rankweighted
0.004,0.1,0.039409989473663254,0.06542151655313803,0.88134294404958,-0.13951959435457054,2.0425460902034103,0.8974358974358975,0.9932012801660756,3640011.0596862133,0.24479306922248456,21229736.156800278,rankweighted
0.005,0.1,0.038678594095071794,0.06513635311958753,0.8624155391014298,-0.14014043708527343,2.0278724009614897,0.9102564102564102,0.9973185710578669,3581331.2642243253,0.24661412252323975,20940672.69719459,rankweighted
0.0075,0.1,0.03761176454383697,0.06461170561516613,0.8364439063792987,-0.142342716948287,1.9986406422805822,0.9230769230769231,0.9999481013753135,3455869.897958396,0.24717278648039265,20525725.516197495,rankweighted
0.01,0.1,0.036785261274967285,0.06394433569469093,0.8197923733233312,-0.14312573978164417,1.9693798464686305,0.9230769230769231,0.9999481013753135,3344584.2831056975,0.2467560586825041,20209629.14112924,rankweighted
0.015,0.1,0.0354366343771757,0.06315950102087176,0.7888537212564328,-0.145866550245419,1.9271479305232913,0.9230769230769231,0.9999481013753135,3178742.055274884,0.24674918027329554,19703740.681867994,rankweighted
0.02,0.1,0.034373382875679814,0.0628075608541053,0.7613634714988132,-0.1485896000370522,1.8956953039300148,0.9230769230769231,0.9999481013753135,3054421.2679740107,0.24696530417964802,19313394.033531487,rankweighted
0.03,0.1,0.032557956659024834,0.06242004356378468,0.7126572275536728,-0.15357981445817373,1.8460060070513435,0.9230769230769231,0.9999481013753135,2867472.9101488884,0.24866909006967153,18663807.11080382,rankweighted
