name,base_unit_fraction,liquidity_cap_frac,max_gross_leverage,n_positions,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,avg_gross_exposure,avg_leverage_vs_initial_capital,avg_n_open_positions,max_n_open_positions,total_transaction_costs,annual_turnover_x_capital,pct_liquidity_capped,final_nav,n_quarters_leverage_capped,total_positions_dropped_by_priority_cap,correlation_to_market,asset_class,source_summary,max_nav_check_diff,trim,tilt_power,beta_target,overlay_cost_bps,avg_net_exposure,avg_net_exposure_pct_of_gross,ml_blend_weight,sweep_search_sharpe,sweep_holdout_sharpe,strategy_variant,hold_horizon_days,n_positions_eligible,n_positions_sized,half_kelly_multiplier,assumed_roundtrip_cost_pct,premium_cap_method,status,source,notes,strategy,max_premium_frac,max_outstanding_premium_frac,avg_premium_outstanding,n_quarters_premium_capped
balanced,,,,34343.0,1.4622255822006338,0.04735190613815732,0.09837092638730147,0.7632092111699125,-0.17533114792058116,20224763.320588227,2.022476332058823,457.78932355338225,825.0,3158624.502462075,16.111896174313905,0.18297760824622195,24622255.822006337,0.0,,,equity,backtest_v2_balanced_summary.json,2.60770320892334e-08,,,,,,,,,,,,,,,,,,,,,,,,
balanced_aggressive,0.009000000000000001,0.05,6.0,34343.0,3.8527312331715824,0.08448059970928123,0.12261075925522624,0.7231122824776404,-0.37451444968133274,75355639.32953903,7.535563932953903,457.78932355338225,825.0,10435731.753811244,65.06114179814217,0.46976094109425504,48527312.33171582,0.0,0.0,0.0017455262988177289,equity,backtest_v2_balanced_aggressive_summary.json,,,,,,,,,,,,,,,,,,,,,,,,,
extreme,,,,34343.0,1.5432376367219407,0.049094205939049784,0.1041976827824803,0.7604501190031218,-0.18479505253775402,22103456.011446882,2.210345601144688,457.78932355338225,825.0,3476377.3974800548,17.75578473313298,0.34956177386949305,25432376.367219407,12.0,,,equity,backtest_v2_extreme_summary.json,2.2351741790771484e-08,,,,,,,,,,,,,,,,,,,,,,,,
extreme_aggressive,0.009000000000000001,0.05,6.0,34343.0,4.8861263350082895,0.09528389560265871,0.12241865800582463,0.8048898061190969,-0.36200826270463426,90903683.4043176,9.09036834043176,457.78932355338225,825.0,12287333.995262038,78.5682522583269,0.5175144862126198,58861263.3500829,0.0,0.0,0.07885381532548875,equity,backtest_v2_extreme_aggressive_summary.json,,,,,,,,,,,,,,,,,,,,,,,,,
rankweighted,,,,173415.0,1.0996808339894808,0.0388213761505698,0.06452376845497551,0.8750702486702858,-0.13962889570946585,20066061.95199777,2.0066061951997773,1934.0941320293398,3547.0,3577067.750407052,17.72454829520834,0.9932012801660756,20996808.33989481,70.0,,,equity,backtest_v2_rankweighted_summary.json,2.60770320892334e-08,,,,,,,,,,,,,,,,,,,,,,,,
rankweighted_aggressive,0.005,0.05,6.0,173406.0,6.424780734098265,0.10842172055631272,0.12397370707771427,0.8925608150533705,-0.38758628402997297,176501479.6440672,17.65014796440672,1934.0201711491443,3547.0,27826091.000838935,162.35125759289411,0.23841074878182394,74247807.34098265,2.0,466.0,0.028848960141854337,equity,backtest_v2_rankweighted_aggressive_summary.json,,,,,,,,,,,,,,,,,,,,,,,,,
strategy4_aggressive,0.007,0.05,6.0,119130.0,6.237194787439306,0.10696633774400177,0.12252679351364607,0.8909021448194924,-0.399984254089492,150929415.23424414,15.092941523424415,1406.0562347188263,2586.0,23515857.457737997,137.28779263035918,0.21794539111380215,72371947.87439306,0.0,0.0,0.030623118520625006,equity,backtest_v2_strategy4_aggressive_summary.json,,,,,,,,,,,,,,,,,,,,,,,,,
strategy4_tilted,0.002,0.05,,119130.0,1.7147442313906933,0.05261535259622896,0.08642794704408607,1.018687882292674,-0.13069567778981514,24912033.863095053,2.4912033863095053,1406.0562347188263,2586.0,4456823.176114276,21.02552138790838,0.08520600870743592,27147442.313906934,46.0,6763.0,,equity,backtest_v2_strategy4_summary.json,,0.15,1.0,,,,,,,,,,,,,,,,,,,,,,
strategy5_aggressive,0.012,0.05,6.0,119130.0,8.327064186742673,0.12147941467617285,0.12203228165075694,1.0007671387969284,-0.3645528915602848,247165785.00117463,24.716578500117464,1406.0562347188263,2586.0,35095802.02897972,230.47785563026085,0.2790185393420408,93270641.86742672,12.0,2502.0,-0.02362612778938468,equity,backtest_v2_strategy5_aggressive_summary.json,,,,,,,,,,,,,,,,,,,,,,,,,
strategy5_size_sector_neutral,0.0015,0.05,,119130.0,1.1709851638994582,0.040604165005516446,0.05134982447972894,1.1708692917633894,-0.10831499898947901,15922134.74908865,1.592213474908865,1406.0562347188263,2586.0,2848909.235899073,13.601607996550939,0.03149669867081856,21709851.638994582,0.0,0.0,,equity,backtest_v2_strategy5_summary.json,,0.15,1.0,,,,,,,,,,,,,,,,,,,,,,
