date,daily_pnl,nav,gross_exposure,n_open_positions,turnover_dollars,daily_return
2010-08-19,-40491.0559122007,21333313.8331201,32772123.31138824,665,719247.5776377816,-0.004049105591219663
2010-08-20,-14151.856220406575,21319161.97689969,32685810.85891896,662,392586.378405718,-0.0014151856220409275
2010-08-23,-41796.1233314153,21277365.85356828,32168279.99639951,651,524576.9679904043,-0.004179612333141267
2010-08-24,-70019.28634851679,21207346.56721976,31836984.310132958,647,433841.5938231031,-0.007001928634851798
2010-08-25,6645.8092810542,21213992.376500815,31657418.08746107,644,532551.0905274061,0.0006645809281054884
2010-08-26,-68808.36661462429,21145184.00988619,31629653.63715655,644,665939.936037476,-0.006880836661462486
2010-08-27,63560.16768343708,21208744.177569628,31463306.087560706,642,463898.7895550146,0.006356016768343747
2010-08-30,-6656.175512943352,21202088.002056684,31293318.821005147,640,272533.17411210964,-0.0006656175512943416
2010-08-31,-4834.318611441625,21197253.683445245,31241296.342080664,639,253696.09711903078,-0.00048343186114393176
2010-09-01,146301.53587068047,21343555.219315924,31184875.25155392,638,614787.0392063707,0.014630153587067872
2010-09-02,-29955.635049425244,21313599.5842665,31350877.11405902,641,350325.7772971762,-0.0029955635049425063
2010-09-03,16385.334275365312,21329984.918541864,31352873.530118085,641,410312.1588434191,0.0016385334275364875
2010-09-07,-51016.24331230412,21278968.675229557,31065676.285413984,636,342848.5208945792,-0.00510162433123067
2010-09-08,2859.992926504121,21281828.668156065,31094912.094048038,636,371259.9652027094,0.00028599929265081883
2010-09-09,-62884.80734555529,21218943.860810507,30749039.105799347,629,761570.0137322075,-0.0062884807345557955
2010-09-10,-14569.977298238948,21204373.883512266,30249065.150215246,620,632334.7500466809,-0.0014569977298241109
2010-09-13,50532.236248523455,21254906.11976079,29416903.02020993,607,881327.6768624575,0.0050532236248523
2010-09-14,30745.234305908372,21285651.3540667,29166517.48011789,604,451030.44633216946,0.0030745234305910767
2010-09-15,-5742.472837185553,21279908.881229512,29084745.1910807,602,184318.1965937416,-0.000574247283718735
2010-09-16,-10803.151686927444,21269105.729542587,28474427.505673304,591,810338.2411577269,-0.0010803151686925442
2010-09-17,31744.575924855482,21300850.30546744,28233736.1381542,587,546965.2934555452,0.0031744575924854725
2010-09-20,31402.04354265084,21332252.349010095,27596279.665626206,575,740002.3800845462,0.003140204354265332
2010-09-21,-23867.93119824825,21308384.417811844,27458157.426207937,571,386961.46186799207,-0.0023867931198250504
2010-09-22,-33461.73278613787,21274922.685025707,26670220.232630115,555,988067.1099381872,-0.003346173278613761
2010-09-23,-49182.22959132933,21225740.45543438,26350288.78066516,548,559982.0991996053,-0.004918222959132865
2010-09-24,101543.48718584348,21327283.94262022,25980566.196472906,542,425760.4955732059,0.01015434871858433
2010-09-27,23898.255139587513,21351182.197759807,25717841.97664532,538,262724.21982758486,0.0023898255139585584
2010-09-28,65506.52780032807,21416688.725560136,25222835.97843575,527,495005.99820956826,0.0065506527800329025
