quarter,trailing_nav_used,base_unit,n_new_positions,cap_status,n_dropped_low_conviction,net_exposure,quarter_realized_pnl
2003Q4,13254439.60161163,39763.31880483489,1707,ok,0,-2058858.9543630253,94628.87285308665
2004Q1,13349068.474464716,40047.20542339415,1700,ok,0,-1996623.547650748,141882.35023383208
2004Q2,13490950.824698549,40472.85247409565,1707,ok,0,-682159.4861226527,316933.4937456645
2004Q3,13807884.318444213,41423.65295533264,1480,ok,0,1583833.9003714707,-66888.6096836811
2004Q4,13740995.708760532,41222.987126281594,1542,ok,0,129433.68103335518,294587.91462825437
2005Q1,14035583.623388786,42106.75087016636,1570,ok,0,-931769.72234509,326008.6955470869
2005Q2,14361592.318935873,43084.77695680762,1696,ok,0,-304961.4885285127,-34249.059456816685
2005Q3,14327343.259479057,42982.02977843717,1902,ok,0,-3684438.231192626,300679.61085027305
2005Q4,14628022.87032933,43884.06861098799,1754,ok,0,-2122725.1606305763,106678.23175476778
2006Q1,14734701.102084098,44204.1033062523,1743,ok,0,-573515.2355435395,171413.25953063925
2006Q2,14906114.361614738,44718.343084844215,1744,ok,0,139507.99156134957,82465.22024154628
2006Q3,14988579.581856284,44965.73874556885,1795,ok,0,588711.016586195,52118.44227493611
2006Q4,15040698.02413122,45122.09407239366,1807,ok,0,-692828.2566657749,168024.69742510587
2007Q1,15208722.721556326,45626.16816466898,1903,ok,0,-2544524.762600308,230827.66884314717
2007Q2,15439550.390399473,46318.65117119842,1957,ok,0,-301780.7447601978,492327.3806107241
2007Q3,15931877.771010198,47795.633313030594,1934,ok,0,-1568548.4119676575,114610.82228533871
2007Q4,16046488.593295537,48139.46577988661,1995,ok,0,-1534570.2084671007,245950.7069838213
2008Q1,16292439.300279358,48877.317900838076,1861,ok,0,-1369542.636186487,-186715.95125587448
2008Q2,16105723.349023484,48317.17004707045,1935,ok,0,568589.4489052461,196092.08876866553
2008Q3,16301815.437792148,48905.446313376444,1963,ok,0,272974.9201606893,220485.51199804136
2008Q4,16522300.949790189,49566.90284937057,1868,ok,0,-979257.0176236555,887845.9401687854
2009Q1,17410146.889958974,52230.44066987692,1960,ok,0,599511.1019961251,-516734.466722163
2009Q2,16893412.42323681,50680.23726971043,1887,ok,0,46342.96182453877,25946.13654131972
2009Q3,16919358.559778128,50758.07567933438,1921,ok,0,-103079.48507967062,180353.38757336806
2009Q4,17099711.947351497,51299.13584205449,1922,ok,0,177492.47076276457,403590.711559211
2010Q1,17503302.658910707,52509.907976732124,1967,ok,0,-288938.9073525723,181377.86365722583
2010Q2,17684680.52256793,53054.041567703796,1970,ok,0,993742.6324020054,90164.11241947516
2010Q3,17774844.634987406,53324.53390496222,1970,ok,0,-82850.8689180275,390589.5491107517
2010Q4,18165434.184098158,54496.30255229447,1985,ok,0,-2436831.35232081,36700.36059112706
2011Q1,18202134.544689287,54606.40363406786,1831,ok,0,1181098.7808610606,-9085.312877592776
2011Q2,18193049.231811695,54579.14769543509,1871,ok,0,94670.65026757098,125720.3080056106
2011Q3,18318769.539817307,54956.30861945192,1858,ok,0,-105019.02616555021,-699567.4969288129
2011Q4,17619202.042888492,52857.60612866548,1860,ok,0,-1841841.3194467989,229294.0118957635
2012Q1,17848496.054784257,53545.48816435277,1854,ok,0,-913933.2789515399,-16518.3534012214
2012Q2,17831977.701383036,53495.93310414911,1889,ok,0,334197.21833945636,264306.145562281
2012Q3,18096283.846945316,54288.851540835945,1898,ok,0,910122.1353525857,-38966.78349640053
2012Q4,18057317.063448913,54171.95119034674,1887,ok,0,-884443.1418653559,-220191.91971801646
2013Q1,17837125.143730897,53511.3754311927,1873,ok,0,-1301875.7328762175,97461.18740124411
2013Q2,17934586.33113214,53803.75899339642,1873,ok,0,-10875.315912221646,239650.356931835
2013Q3,18174236.688063975,54522.710064191924,1868,ok,0,-727604.030001292,313555.9440292779
2013Q4,18487792.632093254,55463.377896279766,1873,ok,0,-2711861.60552699,-6600.225006407549
2014Q1,18481192.407086845,55443.57722126054,0,ok,0,0.0,-12533.71751679447
2014Q2,18468658.68957005,55405.97606871015,0,ok,0,0.0,0.0
