ann_quarter,O0_raw,O0_net,O1_raw,O1_mktadj,O1_net_mktadj
2006Q3,0.12277230661576394,-0.002046705013243,0.0004590432470581232,0.00010011821852528788,0.003979262577918385
2006Q4,0.06609136955152439,-0.0553948029781052,0.009312898773506818,0.008882940954162429,0.010730924086065177
2007Q1,0.15777778393130226,0.0309004502361417,0.005365193635260671,0.008877095131729013,0.011396297706917784
2007Q2,0.4651835299914704,0.32023073842797195,0.03538440492695463,0.03479084824240103,0.037764835631985405
2007Q3,0.3269243590727449,0.19010120675926753,0.0348049328444031,0.03638157902085756,0.03994727118433665
2007Q4,0.09913757669058723,-0.024291712818819255,0.006857097949142098,0.007887328073644867,0.013338060433950343
2008Q1,0.03891933792185203,-0.08096911914795288,0.016475726605095414,0.01567867492688507,0.02542522421418427
2008Q2,0.09057245023364778,-0.0323532098400907,0.014722119180406525,0.012977868684001496,0.022160623879183574
2008Q3,0.3751403753055703,0.2354821212376027,-0.022298640909986206,-0.015441578766063807,-0.0035796084272767623
2008Q4,-0.07135646190337047,-0.1847607019434523,-0.00919290639208925,-0.008073373214471127,0.005494225070391998
2009Q1,0.12441111072323754,-0.0005042625872888895,-0.07059449775376794,-0.0745949413557491,-0.060518087747654596
2009Q2,0.006033836880829674,-0.1119209527277631,0.006139430169125729,0.002772674194156166,0.0113080717077082
2009Q3,0.018477889261357905,-0.10020861062720995,9.669332177651702e-05,-0.0005000005468395784,0.0068773630614928985
2009Q4,-0.12753635478419797,-0.2376372171228871,-0.007521015138728861,-0.006185050554967944,-0.001916584042735302
2010Q1,0.20365431496006048,0.07407944124040891,-0.008776185682313982,-0.02040779117178961,-0.017066730873083302
2010Q2,-0.03180378409701477,-0.1475337215921103,0.005400962274911908,0.012434725692978127,0.014378169199744249
2010Q3,0.08359957478591745,-0.03891608021149448,0.00682496716932942,0.0069945820616851406,0.008792099535017361
2010Q4,,,,,
